# Time Mag MagErr
3042.254092 0.101265 0.000889
3042.256407 0.101736 0.000890
3042.258721 0.101028 0.000889
3042.261036 0.098717 0.000888
3042.263351 0.096415 0.000887
3042.265666 0.093652 0.000885
3042.267981 0.093297 0.000885
3042.270295 0.089118 0.000883
3042.272610 0.085864 0.000881
3042.274925 0.081796 0.000879
3042.277240 0.080231 0.000879
3042.279554 0.072701 0.000875
3042.281869 0.066140 0.000871
3042.284184 0.062281 0.000870
3042.286499 0.056446 0.000867
3042.288814 0.048823 0.000863
3042.291128 0.042718 0.000860
3042.293443 0.033501 0.000856
3042.295758 0.026613 0.000853
3042.298073 0.022582 0.000851
3042.300388 0.014369 0.000847
3042.302702 0.009006 0.000844
3042.305017 0.002864 0.000841
3042.307332 -0.003541 0.000839
3042.309647 -0.010140 0.000836
3042.311962 -0.015605 0.000833
3042.314276 -0.021502 0.000830
3042.316591 -0.026668 0.000828
3042.318906 -0.030883 0.000826
3042.321221 -0.036178 0.000823
3042.323535 -0.039718 0.000822
3042.325850 -0.042325 0.000821
3042.328165 -0.045963 0.000819
3042.330480 -0.050535 0.000817
3042.332795 -0.052999 0.000816
3042.335109 -0.056419 0.000814
3042.337424 -0.058467 0.000813
3042.339739 -0.061874 0.000812
3042.342054 -0.064023 0.000811
3042.344369 -0.067338 0.000809
3042.346683 -0.069111 0.000808
3042.348998 -0.068365 0.000809
3042.351313 -0.071046 0.000807
3042.353628 -0.072204 0.000807
3042.355943 -0.073013 0.000807
3042.358257 -0.074130 0.000806
3042.360572 -0.074139 0.000806
3042.362887 -0.075385 0.000806
3042.365202 -0.077252 0.000805
3042.367516 -0.078282 0.000804
3042.369831 -0.079918 0.000804
3042.372146 -0.079115 0.000804
3042.374461 -0.077230 0.000805
3042.376776 -0.080490 0.000803
3042.379090 -0.079704 0.000804
3042.381405 -0.081500 0.000803
3042.383720 -0.079606 0.000804
3042.386035 -0.079842 0.000803
3042.388350 -0.079042 0.000804
3042.390664 -0.076577 0.000805
3042.392979 -0.075442 0.000806
3042.395294 -0.074026 0.000807
3042.397609 -0.070141 0.000808
3042.399924 -0.069107 0.000809
3042.402238 -0.067466 0.000809
3042.404553 -0.064496 0.000810
3042.406868 -0.060526 0.000812
