# Time Mag MagErr
3534.182890 0.028565 0.000553
3534.185205 0.009626 0.000548
3534.187520 -0.009199 0.000542
3534.189835 -0.027722 0.000537
3534.192150 -0.049177 0.000531
3534.194465 -0.068923 0.000525
3534.196779 -0.085610 0.000520
3534.199094 -0.101333 0.000516
3534.201409 -0.115135 0.000512
3534.203724 -0.124548 0.000510
3534.206039 -0.132183 0.000508
3534.208354 -0.135964 0.000507
3534.210669 -0.137303 0.000506
3534.212984 -0.136773 0.000507
3534.215299 -0.134712 0.000507
3534.217613 -0.133537 0.000507
3534.219928 -0.134043 0.000507
3534.222243 -0.137386 0.000506
3534.224558 -0.141742 0.000505
3534.226873 -0.149003 0.000503
3534.229188 -0.154544 0.000502
3534.231503 -0.158227 0.000501
3534.233818 -0.161449 0.000500
3534.236133 -0.162269 0.000500
3534.238447 -0.163795 0.000499
3534.240762 -0.162728 0.000500
3534.243077 -0.161943 0.000500
3534.245392 -0.159911 0.000500
3534.247707 -0.158090 0.000501
3534.250022 -0.153293 0.000502
3534.252337 -0.149545 0.000503
3534.254652 -0.145386 0.000504
3534.256967 -0.140519 0.000506
3534.259281 -0.136230 0.000507
3534.261596 -0.130700 0.000508
3534.263911 -0.124952 0.000510
3534.266226 -0.119451 0.000511
3534.268541 -0.115309 0.000512
3534.270856 -0.109444 0.000514
3534.273171 -0.103755 0.000516
3534.275486 -0.098601 0.000517
3534.277801 -0.090804 0.000519
3534.280115 -0.085825 0.000520
3534.282430 -0.079601 0.000522
3534.284745 -0.074267 0.000524
3534.287060 -0.068301 0.000525
3534.289375 -0.062726 0.000527
3534.291690 -0.056719 0.000528
3534.294005 -0.050651 0.000530
3534.296320 -0.044594 0.000532
3534.298635 -0.039554 0.000533
3534.300949 -0.032335 0.000535
3534.303264 -0.026768 0.000537
3534.305579 -0.019836 0.000539
3534.307894 -0.015736 0.000540
3534.310209 -0.008141 0.000543
3534.312524 -0.001817 0.000544
3534.314839 0.003913 0.000546
3534.317154 0.010052 0.000548
3534.319469 0.017564 0.000550
3534.321784 0.024130 0.000552
3534.324098 0.030379 0.000554
3534.326413 0.037624 0.000556
3534.328728 0.043496 0.000558
3534.331043 0.049681 0.000560
3534.333358 0.057115 0.000562
3534.335673 0.064035 0.000564
3534.337988 0.070128 0.000566
3534.340303 0.077260 0.000568
3534.342618 0.084298 0.000570
3534.344932 0.090141 0.000572
3534.347247 0.097697 0.000574
3534.349562 0.104049 0.000576
3534.351877 0.110581 0.000578
3534.354192 0.116236 0.000580
3534.356507 0.121369 0.000582
3534.358822 0.128169 0.000584
3534.361137 0.132490 0.000585
3534.363452 0.137673 0.000587
3534.365766 0.142237 0.000588
3534.368081 0.145984 0.000589
3534.370396 0.150813 0.000591
3534.372711 0.154607 0.000592
3534.375026 0.155888 0.000593
3534.377341 0.158266 0.000594
3534.379656 0.159045 0.000594
3534.381971 0.161345 0.000595
3534.384286 0.162518 0.000595
3534.386600 0.162944 0.000595
3534.388915 0.163187 0.000595
3534.391230 0.161285 0.000595
3534.393545 0.160533 0.000594
3534.395860 0.160227 0.000594
3534.398175 0.157848 0.000593
3534.400490 0.155735 0.000593
3534.402805 0.152585 0.000592
3534.405120 0.150966 0.000591
3534.407434 0.147235 0.000590
3534.409749 0.142695 0.000588
3534.412064 0.139671 0.000588
3534.414379 0.135285 0.000586
3534.416694 0.128283 0.000584
3534.419009 0.123123 0.000582
3534.421324 0.116643 0.000580
3534.423639 0.109157 0.000578
3534.425954 0.098721 0.000575
3534.428268 0.090415 0.000572
3534.430583 0.077596 0.000568
3534.432898 0.066625 0.000565
3534.435213 0.050512 0.000560
3534.437528 0.035592 0.000556
3534.439843 0.018524 0.000550
3534.442158 -0.000295 0.000545
3534.444473 -0.019293 0.000539
3534.446788 -0.039039 0.000534
3534.449102 -0.057214 0.000529
3534.451417 -0.076805 0.000523
3534.453732 -0.094369 0.000518
3534.456047 -0.108868 0.000514
3534.458362 -0.119394 0.000511
3534.460677 -0.128488 0.000509
3534.462992 -0.134143 0.000507
3534.465307 -0.135868 0.000507
3534.467622 -0.136287 0.000507
3534.469936 -0.133330 0.000508
3534.472251 -0.131751 0.000508
3534.474566 -0.131437 0.000508
3534.476881 -0.133248 0.000508
3534.479196 -0.136438 0.000507
3534.481511 -0.143665 0.000505
3534.483826 -0.150050 0.000503
3534.486141 -0.154506 0.000502
3534.488456 -0.158935 0.000501
3534.490770 -0.161162 0.000500
3534.493085 -0.162985 0.000500
3534.495400 -0.162686 0.000500
3534.497715 -0.162875 0.000500
3534.500030 -0.160781 0.000500
3534.502345 -0.158273 0.000501
3534.504660 -0.155748 0.000502
3534.506975 -0.151497 0.000503
3534.509290 -0.147272 0.000504
3534.511604 -0.143565 0.000505
3534.513919 -0.138570 0.000506
3534.516234 -0.133889 0.000507
3534.518549 -0.128651 0.000509
3534.520864 -0.122459 0.000511
3534.523179 -0.117974 0.000512
3534.525494 -0.111697 0.000514
3534.527809 -0.106119 0.000515
3534.530124 -0.100482 0.000516
3534.532438 -0.094362 0.000518
3534.534753 -0.087827 0.000520
3534.537068 -0.082880 0.000521
3534.539383 -0.077668 0.000523
3534.541698 -0.070172 0.000525
3534.544013 -0.064592 0.000526
3534.546328 -0.058652 0.000528
3534.548643 -0.052418 0.000530
3534.550958 -0.046762 0.000531
3534.553272 -0.040759 0.000533
3534.555587 -0.035212 0.000535
3534.557902 -0.028435 0.000537
3534.560217 -0.022154 0.000538
3534.562532 -0.016597 0.000540
3534.564847 -0.009949 0.000542
3534.567162 -0.003212 0.000544
3534.569477 0.002488 0.000546
3534.571792 0.008651 0.000547
3534.574106 0.016685 0.000550
3534.576421 0.022765 0.000552
3534.578736 0.028809 0.000553
3534.581051 0.035250 0.000555
3534.583366 0.042950 0.000558
3534.585681 0.048717 0.000559
3534.587996 0.056914 0.000562
3534.590311 0.062911 0.000564
3534.592625 0.069564 0.000566
3534.594940 0.076638 0.000568
3534.597255 0.083191 0.000570
3534.599570 0.090568 0.000572
3534.601885 0.096435 0.000574
3534.604200 0.103449 0.000576
3534.606515 0.108598 0.000578
3534.608830 0.115740 0.000580
3534.611145 0.121918 0.000582
3534.613459 0.127611 0.000584
3534.615774 0.132462 0.000585
3534.618089 0.137658 0.000587
3534.620404 0.141788 0.000588
3534.622719 0.145867 0.000590
3534.625034 0.149856 0.000591
3534.627349 0.151551 0.000592
3534.629664 0.155029 0.000592
3534.631979 0.157508 0.000593
3534.634293 0.159205 0.000594
3534.636608 0.159432 0.000594
3534.638923 0.161951 0.000595
3534.641238 0.161970 0.000595
3534.643553 0.161650 0.000595
3534.645868 0.161609 0.000595
3534.648183 0.160243 0.000594
3534.650498 0.159740 0.000594
3534.652813 0.158737 0.000594
3534.655127 0.155768 0.000593
3534.657442 0.154207 0.000592
3534.659757 0.151608 0.000591
3534.662072 0.147859 0.000590
3534.664387 0.144801 0.000589
3534.666702 0.140750 0.000588
3534.669017 0.135535 0.000586
3534.671332 0.129400 0.000584
3534.673647 0.123974 0.000582
3534.675961 0.116923 0.000580
3534.678276 0.109503 0.000578
3534.680591 0.101340 0.000575
3534.682906 0.091425 0.000572
3534.685221 0.080200 0.000569
3534.687536 0.069178 0.000565
3534.689851 0.054025 0.000561
3534.692166 0.037828 0.000556
3534.694481 0.021619 0.000551
3534.696795 0.003615 0.000546
3534.699110 -0.014881 0.000541
3534.701425 -0.034518 0.000535
3534.703740 -0.054328 0.000529
3534.706055 -0.073645 0.000524
3534.708370 -0.089986 0.000519
3534.710685 -0.106104 0.000515
3534.713000 -0.116591 0.000512
3534.715315 -0.126513 0.000509
3534.717629 -0.133367 0.000508
3534.719944 -0.136054 0.000507
3534.722259 -0.136632 0.000507
3534.724574 -0.136315 0.000507
3534.726889 -0.134408 0.000507
3534.729204 -0.133609 0.000507
3534.731519 -0.134973 0.000507
3534.733834 -0.136831 0.000507
3534.736149 -0.142145 0.000505
3534.738463 -0.146290 0.000504
3534.740778 -0.152514 0.000502
3534.743093 -0.156023 0.000502
3534.745408 -0.159386 0.000501
3534.747723 -0.160802 0.000500
3534.750038 -0.160129 0.000500
3534.752353 -0.158615 0.000501
3534.754668 -0.158535 0.000501
3534.756983 -0.156960 0.000501
3534.759297 -0.153602 0.000502
3534.761612 -0.150146 0.000503
3534.763927 -0.147056 0.000504
3534.766242 -0.142066 0.000505
3534.768557 -0.137461 0.000507
3534.770872 -0.132834 0.000508
3534.773187 -0.127958 0.000509
3534.775502 -0.123460 0.000510
3534.777816 -0.117637 0.000512
3534.780131 -0.111912 0.000513
3534.782446 -0.105765 0.000515
3534.784761 -0.101534 0.000516
3534.787076 -0.095163 0.000518
3534.789391 -0.088949 0.000520
3534.791706 -0.082941 0.000522
3534.794021 -0.077848 0.000523
3534.796336 -0.072196 0.000524
3534.798650 -0.066058 0.000526
3534.800965 -0.060603 0.000528
3534.803280 -0.054219 0.000529
3534.805595 -0.048768 0.000531
3534.807910 -0.042350 0.000533
3534.810225 -0.035733 0.000535
3534.812540 -0.030739 0.000536
3534.814855 -0.025344 0.000537
3534.817170 -0.018370 0.000540
3534.819484 -0.013318 0.000541
3534.821799 -0.006467 0.000543
3534.824114 -0.000963 0.000545
3534.826429 0.006731 0.000547
3534.828744 0.013751 0.000549
3534.831059 0.019737 0.000551
3534.833374 0.026111 0.000553
3534.835689 0.033035 0.000555
3534.838004 0.039445 0.000557
3534.840318 0.046605 0.000559
3534.842633 0.052499 0.000560
3534.844948 0.059760 0.000563
3534.847263 0.067311 0.000565
3534.849578 0.074359 0.000567
3534.851893 0.081367 0.000569
3534.854208 0.087348 0.000571
3534.856523 0.094601 0.000573
3534.858838 0.099608 0.000575
3534.861152 0.106600 0.000577
3534.863467 0.114413 0.000580
3534.865782 0.120959 0.000582
3534.868097 0.125995 0.000583
3534.870412 0.131340 0.000585
3534.872727 0.136139 0.000586
3534.875042 0.140354 0.000588
3534.877357 0.145444 0.000590
3534.879672 0.148857 0.000590
3534.881986 0.153112 0.000592
3534.884301 0.156850 0.000593
3534.886616 0.157399 0.000593
3534.888931 0.159940 0.000594
3534.891246 0.160768 0.000594
3534.893561 0.161798 0.000595
3534.895876 0.161410 0.000595
3534.898191 0.162164 0.000595
3534.900505 0.162495 0.000595
3534.902820 0.161213 0.000594
3534.905135 0.161179 0.000595
3534.907450 0.158531 0.000594
3534.909765 0.156829 0.000593
3534.912080 0.155004 0.000592
3534.914395 0.152341 0.000592
3534.916710 0.149754 0.000591
3534.919025 0.145268 0.000589
3534.921339 0.141904 0.000588
3534.923654 0.138619 0.000587
3534.925969 0.133963 0.000586
3534.928284 0.128395 0.000584
3534.930599 0.121586 0.000582
3534.932914 0.114199 0.000580
3534.935229 0.106576 0.000577
3534.937544 0.097183 0.000574
3534.939859 0.085782 0.000571
3534.942173 0.074812 0.000567
3534.944488 0.061427 0.000563
3534.946803 0.046578 0.000559
3534.949118 0.030109 0.000554
3534.951433 0.012696 0.000549
3534.953748 -0.006739 0.000543
3534.956063 -0.026159 0.000537
3534.958378 -0.045717 0.000532
3534.960693 -0.065986 0.000526
3534.963007 -0.083274 0.000521
3534.965322 -0.100516 0.000516
3534.967637 -0.113952 0.000513
3534.969952 -0.124145 0.000510
3534.972267 -0.132029 0.000508
3534.974582 -0.136853 0.000507
3534.976897 -0.136986 0.000507
3534.979212 -0.137610 0.000507
3534.981526 -0.135101 0.000507
3534.983841 -0.133015 0.000508
3534.986156 -0.132194 0.000508
3534.988471 -0.137681 0.000506
3534.990786 -0.141926 0.000505
3534.993101 -0.147920 0.000504
3534.995416 -0.153932 0.000502
3534.997731 -0.157685 0.000501
3535.000046 -0.162405 0.000500
3535.002360 -0.163926 0.000499
3535.004675 -0.163999 0.000499
3535.006990 -0.164052 0.000499
3535.009305 -0.163869 0.000499
3535.011620 -0.160083 0.000500
3535.013935 -0.157831 0.000501
3535.016250 -0.153967 0.000502
3535.018565 -0.150491 0.000503
3535.020880 -0.146165 0.000504
3535.023194 -0.142199 0.000505
3535.025509 -0.135813 0.000507
3535.027824 -0.130604 0.000508
3535.030139 -0.126079 0.000509
3535.032454 -0.120859 0.000511
3535.034769 -0.114404 0.000513
3535.037084 -0.108880 0.000514
3535.039399 -0.102706 0.000516
3535.041714 -0.097943 0.000517
3535.044028 -0.091331 0.000519
3535.046343 -0.086547 0.000520
3535.048658 -0.079216 0.000522
3535.050973 -0.073251 0.000524
3535.053288 -0.067162 0.000526
3535.055603 -0.062218 0.000527
3535.057918 -0.055024 0.000529
3535.060233 -0.049962 0.000531
3535.062547 -0.043443 0.000532
3535.064862 -0.037927 0.000534
3535.067177 -0.031539 0.000536
3535.069492 -0.025342 0.000537
3535.071807 -0.019478 0.000539
3535.074122 -0.013784 0.000541
3535.076437 -0.007421 0.000543
3535.078752 -0.001443 0.000544
3535.081067 0.005999 0.000547
3535.083381 0.013945 0.000549
3535.085696 0.018070 0.000550
3535.088011 0.026760 0.000553
3535.090326 0.031813 0.000554
3535.092641 0.038184 0.000556
3535.094956 0.044648 0.000558
3535.097271 0.052624 0.000561
3535.099586 0.059456 0.000563
3535.101901 0.065734 0.000565
3535.104215 0.073350 0.000567
3535.106530 0.080102 0.000569
3535.108845 0.086034 0.000571
3535.111160 0.092730 0.000573
3535.113475 0.099773 0.000575
3535.115790 0.105451 0.000577
3535.118105 0.111523 0.000579
3535.120420 0.117485 0.000581
3535.122734 0.123706 0.000582
3535.125049 0.128726 0.000584
3535.127364 0.134880 0.000586
3535.129679 0.139828 0.000588
3535.131994 0.143556 0.000589
3535.134309 0.148097 0.000590
3535.136624 0.150418 0.000591
3535.138939 0.154432 0.000592
3535.141254 0.157876 0.000594
3535.143568 0.158555 0.000593
